crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Potato,Alluvial soil,63.57,6.18,16.03,82.71,58.14,0.765,Punjab,94.89
Cabbage,Alluvial soil,60.83,6.41,25.46,42.58,60.32,0.57,Odisha,137.54
Maize,Black soil,57.45,7.06,24.49,104.65,52.9,0.701,Uttar Pradesh,95.87
Pumpkin,Alluvial soil,68.01,7.54,19.87,208.62,75.99,0.718,Gujarat,0
Cotton,Red and Yellow soil,49.33,7.56,28.81,140.67,58.1,0.847,Madhya Pradesh,0
Soybean,Black soil,59.88,6.24,26.34,155.5,65.04,0.738,Haryana,0
Wheat,Black soil,48.71,8.07,20.91,108.42,53.16,0.411,Bihar,98.55
Cucumber,Alluvial soil,67.88,7.31,29.19,164.85,66.16,0.822,Karnataka,0
Cabbage,Alluvial soil,66.52,6.47,24.93,90.43,70.5,0.749,Tamil Nadu,121.95
Lentil,Alluvial soil,37.47,7.17,22.4,41.68,54.21,0.457,Madhya Pradesh,67.75
Potato,Forest and Mountain soil,45.55,7.68,21.17,116.5,57.56,0.822,Karnataka,23.08
Wheat,Red and Yellow soil,53.49,7,18.17,133.36,57.87,0.711,Punjab,0
Rice,Forest and Mountain soil,88.49,7.63,18.87,328.87,78,0.818,Bihar,0
Cauliflower,Alluvial soil,65.41,6.3,21.42,117.53,72.44,0.796,Punjab,117.74
Tomato,Red and Yellow soil,55.52,5.96,28.97,74.77,50,0.863,Tamil Nadu,114.48
Potato,Red and Yellow soil,48.14,5.85,21.61,89.3,45,0.688,Gujarat,114.73
Cotton,Red and Yellow soil,54.85,7.41,22.24,125.15,55.46,0.758,Karnataka,0
Maize,Black soil,54.31,6.99,26.29,102.77,73.31,0.824,Tamil Nadu,0
Sugarcane,Alluvial soil,53.79,6.14,27.44,130.46,57.02,0.793,Punjab,0
Groundnut,Red and Yellow soil,44.31,6.24,23.55,101.96,49.59,0.557,Rajasthan,97.44
Sugarcane,Alluvial soil,77.02,7.3,26.01,176.1,67.16,0.801,Punjab,203.77
Soybean,Alluvial soil,59.97,7.79,26.51,163.78,59.1,0.672,Tamil Nadu,0
Cauliflower,Black soil,75.49,6.53,23.87,268.22,89.31,0.899,West Bengal,0
Cauliflower,Red and Yellow soil,70.29,7.4,20.47,387.23,92.65,0.701,Maharashtra,0
Groundnut,Alluvial soil,36.79,6.28,32.98,46.99,70.38,0.526,Madhya Pradesh,109.47
Maize,Alluvial soil,57,6.84,28.42,102.89,63.07,0.743,Gujarat,0
Sugarcane,Black soil,63.49,7.3,26.42,109.65,79.5,0.72,Telangana,218.7
Groundnut,Red and Yellow soil,41.12,6.27,22.36,115.27,60.93,0.612,Tamil Nadu,95.55
Chickpea,Forest and Mountain soil,59.29,6.93,27.21,131.69,70.32,0.601,Gujarat,0
Rice,Black soil,57.55,6.86,33.72,230.04,80.58,0.865,Madhya Pradesh,166.93
Potato,Alluvial soil,65.35,6.58,17.88,66.47,45,0.708,West Bengal,98.63
Cucumber,Black soil,53.79,7.01,27.62,86.19,68,0.755,Telangana,111.49
Chickpea,Red and Yellow soil,93.47,7.1,27.46,395.87,93.29,0.853,Maharashtra,0
Lentil,Alluvial soil,30.8,7.16,25.22,66.05,60.64,0.67,Jharkhand,67.06
Cabbage,Black soil,70.22,6.69,21.54,272.65,89.56,0.682,Uttar Pradesh,0
Rice,Red and Yellow soil,62.54,6.8,30.43,245.53,71.57,0.815,Tamil Nadu,177.6
Mustard,Forest and Mountain soil,81.36,6.99,26.76,322.12,90.05,0.814,Bihar,0
Chickpea,Alluvial soil,43.06,7.32,25.27,61.47,39.96,0.657,Andhra Pradesh,70.75
Chickpea,Red and Yellow soil,31.39,6.4,22.55,73.3,51.18,0.531,Rajasthan,83.41
Chickpea,Alluvial soil,39.55,7.19,21.24,53.86,54.95,0.547,Andhra Pradesh,72.82
Chickpea,Alluvial soil,51.32,7.59,21.71,154.25,74.82,0.695,Bihar,0
Pumpkin,Alluvial soil,61.59,6.65,32.75,133.91,71.03,0.9,Karnataka,100.44
Cabbage,Alluvial soil,55.84,6.34,23.32,98.36,73.7,0.73,Tamil Nadu,125.73
Cotton,Red and Yellow soil,48.55,7.63,24.2,167.54,59.74,0.83,Uttar Pradesh,0
Soybean,Alluvial soil,51.64,6.53,28.6,85.45,70.84,0.7,Chhattisgarh,97.99
Mustard,Red and Yellow soil,88.77,6.13,28.29,245.56,90.84,0.834,Haryana,0
Maize,Alluvial soil,52.69,6.77,25.09,80.88,70.53,0.795,Uttar Pradesh,0
Chickpea,Black soil,38.87,7.01,27.42,80.3,49.46,0.545,Uttar Pradesh,64.73
Tomato,Alluvial soil,56.68,6.08,25.06,97.57,70.43,0.722,Uttar Pradesh,0
Rice,Peaty and Marshy soil,82.73,5.86,29.48,163.8,90.59,0.677,Punjab,113.33
Potato,Forest and Mountain soil,57.2,7.31,19.92,216.53,76.91,0.704,Maharashtra,0
Potato,Alluvial soil,53.54,6.77,21.27,65.14,64.03,0.712,Assam,107.4
Garlic,Black soil,50.98,7.23,25.54,147.43,74.91,0.757,West Bengal,0
Chickpea,Alluvial soil,77.67,7.58,24.97,288.96,85.7,0.84,Punjab,0
Cabbage,Black soil,69.22,7.12,22.6,69.58,89.22,0.69,West Bengal,114.61
Cotton,Black soil,51.87,8,34.29,30,67.22,0.644,Rajasthan,99.89
Garlic,Red and Yellow soil,65.12,6.02,25.47,159.8,66.49,0.857,Gujarat,0
Cucumber,Alluvial soil,61.63,6.81,25.53,144.51,59.39,0.644,Rajasthan,96.16
Onion,Forest and Mountain soil,59.7,6.19,23.99,241.43,66.43,0.707,Karnataka,0
Groundnut,Alluvial soil,40.05,6.73,29.23,85.4,56.92,0.704,Karnataka,96.41
Soybean,Alluvial soil,49.99,6.54,27.16,107.91,85,0.775,Karnataka,92.79
Mustard,Black soil,32.23,7.66,17.89,21.92,47.84,0.681,Punjab,63.37
Wheat,Alluvial soil,51.4,6.95,25.31,110.85,40.38,0.519,Madhya Pradesh,83.47
Wheat,Red and Yellow soil,49.14,7.17,20.21,127.59,66.58,0.695,Madhya Pradesh,0
Cabbage,Red and Yellow soil,83.27,6.57,26.17,260.75,81.58,0.802,Tamil Nadu,0
Mustard,Alluvial soil,34.38,7.36,18.73,38.76,55.64,0.489,Chhattisgarh,63.34
Cotton,Alluvial soil,39.9,7.14,29.55,100.21,51.59,0.649,Maharashtra,97.63
Groundnut,Black soil,88.73,7.47,20.6,280.14,76.82,0.773,West Bengal,0
Onion,Forest and Mountain soil,63.64,7.02,24.18,193.42,80.06,0.785,Tamil Nadu,0
Soybean,Alluvial soil,47.05,6.96,24.17,124.38,67.22,0.736,Uttar Pradesh,89.24
Tomato,Alluvial soil,63.37,6.58,25.09,83.98,71.37,0.732,Uttar Pradesh,95.53
Potato,Alluvial soil,54.52,6.6,20.58,20.9,57.62,0.668,Uttar Pradesh,117.59
Cotton,Black soil,45.94,7.36,31.03,116.89,64.13,0.681,Madhya Pradesh,80.43
Wheat,Black soil,47.24,7.99,15.07,69.96,45.46,0.507,Maharashtra,114.18
Maize,Black soil,58.81,6.79,18.41,117.03,62.81,0.798,Uttar Pradesh,0
Wheat,Alluvial soil,55.75,7.2,15.2,71.71,60.09,0.685,Haryana,96.78
Sugarcane,Alluvial soil,72.95,6.73,24.05,281.1,77.17,0.83,Gujarat,178.98
Tomato,Red and Yellow soil,40.63,5.62,18,48.83,50,0.697,Uttar Pradesh,124.41
Groundnut,Alluvial soil,41.82,6.72,27.03,57.69,60.29,0.566,Andhra Pradesh,101.4
Chilli,Alluvial soil,48.35,6.79,31.29,81.68,59.6,0.686,Madhya Pradesh,112.71
Garlic,Forest and Mountain soil,71.53,6.87,26.58,271.7,80.4,0.868,Haryana,0
Groundnut,Alluvial soil,39.42,6.29,26.22,42.78,51.47,0.65,Uttar Pradesh,106.24
Cauliflower,Alluvial soil,80.69,7.28,28.13,333.47,93.65,0.8,Tamil Nadu,0
Lentil,Forest and Mountain soil,90.47,6.41,23.28,255.62,83.13,0.777,Uttar Pradesh,0
Wheat,Black soil,51.8,7.14,18.72,87,48.52,0.652,West Bengal,103.6
Rice,Red and Yellow soil,85.56,7.56,20.17,219.12,85.42,0.834,West Bengal,0
Groundnut,Red and Yellow soil,59.89,6.73,28.61,98.8,57.48,0.777,Gujarat,0
Cucumber,Alluvial soil,58.65,6.84,25.97,89.14,76.84,0.705,Karnataka,112.01
Brinjal,Forest and Mountain soil,50.89,6.97,23.01,97.24,59.84,0.663,West Bengal,0
Cabbage,Black soil,83.41,7.32,24.47,287.84,85.85,0.871,Bihar,0
Garlic,Alluvial soil,67.2,6.22,19.75,244.45,74.81,0.667,Uttar Pradesh,0
Cucumber,Black soil,51.21,6.85,24.72,116.44,66.81,0.625,Uttar Pradesh,21.32
Maize,Red and Yellow soil,52.15,6.56,28.21,98.14,54.21,0.662,Bihar,128.07
Onion,Alluvial soil,68.15,7.1,25.17,176.44,72.47,0.636,Haryana,0
Cotton,Black soil,59.08,7.88,28.5,61.77,69.13,0.728,Andhra Pradesh,85.31
Lentil,Black soil,47.37,7.35,18.39,26.98,50.27,0.556,Chhattisgarh,59.54
Mustard,Black soil,45.09,6.95,23.61,101.65,59.2,0.867,Tamil Nadu,0
Onion,Black soil,73.79,6.21,22.22,379.82,94.92,0.832,Bihar,0
Soybean,Forest and Mountain soil,56.96,7.48,22.25,159.24,66.55,0.736,Karnataka,0
Maize,Alluvial soil,40.06,6.35,31.27,51.06,68.56,0.842,West Bengal,46.94
Sugarcane,Alluvial soil,74.3,6.2,24.47,195.95,73.92,0.822,Punjab,0
Wheat,Red and Yellow soil,54.91,7.48,22.22,95.05,63.29,0.806,West Bengal,0
Onion,Red and Yellow soil,69.27,6.27,25.96,153.23,75.05,0.732,Uttar Pradesh,0
Mustard,Black soil,51.42,6.63,30.51,84.56,50.67,0.777,Uttar Pradesh,34.33
Soybean,Alluvial soil,40.05,6.94,29.38,72.09,65.74,0.588,Rajasthan,108.6
Onion,Black soil,72.94,6.09,23.91,295.48,77.75,0.864,Tamil Nadu,0
Pumpkin,Red and Yellow soil,85.45,6.75,19.21,261.78,89.2,0.827,Uttar Pradesh,0
Rice,Red and Yellow soil,58.8,7.31,30.75,92.83,74.61,0.675,Uttar Pradesh,0
Chickpea,Forest and Mountain soil,56.99,7.74,26.44,145.45,68.97,0.757,Gujarat,0
Garlic,Alluvial soil,49.49,6.46,26.21,55.57,41.56,0.666,Gujarat,99.1
Cotton,Forest and Mountain soil,49.34,7.42,23.88,84.52,55.58,0.845,West Bengal,0
Tomato,Red and Yellow soil,53.74,6.44,30.61,102.3,79.59,0.706,Karnataka,109.49
Pumpkin,Alluvial soil,75.83,7.3,26.4,318.44,82.29,0.779,Gujarat,0
Rice,Alluvial soil,70.67,7.39,29.57,301.17,84.65,0.922,Madhya Pradesh,0
Groundnut,Red and Yellow soil,58.29,7.48,20.28,176.04,55.71,0.709,Madhya Pradesh,0
Cotton,Black soil,59.07,7.32,27.81,113.33,80,0.637,Maharashtra,72.15
Mustard,Forest and Mountain soil,64.54,7.55,25.7,92.48,60.57,0.846,Haryana,0
Mustard,Forest and Mountain soil,79.69,7.53,21.3,228.37,82.47,0.824,Punjab,0
Groundnut,Alluvial soil,45.91,6.66,27.57,82.24,50.84,0.632,Andhra Pradesh,93.02
Sugarcane,Alluvial soil,75.59,6.83,25.75,293.17,75.09,0.673,Andhra Pradesh,175.23
Chilli,Forest and Mountain soil,62.24,6.37,18.03,128.39,68.46,0.706,Haryana,0
Maize,Forest and Mountain soil,94.59,6.06,29.59,357.18,84.37,0.798,Uttar Pradesh,0
Lentil,Forest and Mountain soil,58.5,7.34,19.12,129.14,73.79,0.724,Maharashtra,0
Potato,Red and Yellow soil,88.32,7.46,21.64,238.9,83.77,0.883,Haryana,0
Cotton,Black soil,49.14,7.19,18.86,137,59.76,0.759,Karnataka,0
Soybean,Black soil,54.68,7.26,18.62,109.79,67.97,0.73,Uttar Pradesh,0
Lentil,Alluvial soil,33.38,6.43,22.12,58.02,59.73,0.559,Haryana,66.44
Potato,Forest and Mountain soil,59.91,7.41,29.22,124.24,67.99,0.659,West Bengal,0
Cucumber,Alluvial soil,52.46,6.19,25.88,96.23,68.26,0.706,Uttar Pradesh,113.9
Chilli,Red and Yellow soil,94.49,6.73,26.94,257.88,88.27,0.701,Haryana,0
Rice,Forest and Mountain soil,79.88,6.66,24.36,221.07,93.82,0.74,Gujarat,0
Cauliflower,Red and Yellow soil,88.97,6.71,25.45,243.34,92.61,0.804,Karnataka,0
Garlic,Red and Yellow soil,77.67,7.24,22.87,269.02,77.03,0.744,West Bengal,0
Soybean,Black soil,51.36,7.67,27.94,119.3,69.65,0.748,Karnataka,79.43
Wheat,Alluvial soil,50.86,6.79,22.43,119.84,75,0.565,Madhya Pradesh,82.65
Maize,Black soil,92.14,6.38,20.1,322.39,89.94,0.896,Karnataka,0
Chickpea,Black soil,40.18,7.52,21.27,53.88,68.39,0.609,Haryana,67.51
Chickpea,Red and Yellow soil,33.38,6.71,21.89,72.1,46.24,0.465,Andhra Pradesh,82.46
Garlic,Black soil,63.89,6,20.21,128.48,77.21,0.747,Maharashtra,0
Pumpkin,Red and Yellow soil,52.26,6.24,24.47,106.61,61.31,0.616,Gujarat,118.72
Chilli,Alluvial soil,51.64,6.64,26.23,167.09,50,0.677,Telangana,86.86
Cucumber,Forest and Mountain soil,66.06,7.11,23.33,160.42,74.42,0.877,Gujarat,0
Pumpkin,Alluvial soil,61.9,6.29,28.04,127.8,78.43,0.826,Tamil Nadu,99.43
Potato,Red and Yellow soil,44.8,6.28,21.4,20,71.89,0.631,Bihar,133.98
Sugarcane,Red and Yellow soil,85.7,7.58,25.89,280.81,77.77,0.825,Gujarat,0
Cucumber,Forest and Mountain soil,66.31,7.58,18.83,202.82,67.64,0.89,Maharashtra,0
Maize,Alluvial soil,45.43,6.75,20,109.49,56.44,0.602,Madhya Pradesh,105.83
Brinjal,Alluvial soil,72.7,6.21,28.62,225.07,86.55,0.774,Karnataka,0
Chilli,Alluvial soil,53.03,6.21,21.07,186.53,65.08,0.57,Uttar Pradesh,78.59
Lentil,Red and Yellow soil,90.05,6.45,25.17,219.47,93.24,0.85,Madhya Pradesh,0
Cucumber,Red and Yellow soil,57.72,7.75,26.91,228.26,68.06,0.722,West Bengal,0
Cabbage,Black soil,74.16,7.45,22.71,90.94,55,0.764,Madhya Pradesh,106.35
Wheat,Forest and Mountain soil,46.53,7.5,18.75,171.12,65.55,0.809,Punjab,0
Cauliflower,Red and Yellow soil,84.97,7.36,25.48,254.42,93.59,0.751,Punjab,0
Onion,Red and Yellow soil,87.31,7.56,26.43,281.93,82.14,0.858,Gujarat,0
Wheat,Forest and Mountain soil,71.34,6.47,25.05,223.01,83.94,0.814,Karnataka,0
Cauliflower,Black soil,69.68,6.94,17.61,121.26,75.15,0.774,Bihar,102.72
Cabbage,Black soil,89.4,7.01,26.09,213.74,90.33,0.651,Haryana,0
Cucumber,Alluvial soil,79,7.22,26.19,305.58,77.14,0.794,West Bengal,0
Groundnut,Alluvial soil,55.44,6.28,30.79,118.16,66.98,0.601,Chhattisgarh,79.61
Cucumber,Forest and Mountain soil,57.15,7.31,29.25,170.4,83.78,0.788,Madhya Pradesh,0
Chickpea,Alluvial soil,41.82,6.82,24.62,59.16,44.26,0.543,Madhya Pradesh,71.64
Cabbage,Red and Yellow soil,56.48,6.58,19.11,80.66,84.02,0.745,Maharashtra,138.09
Tomato,Alluvial soil,48.52,6.88,24.07,79.13,79.73,0.739,Bihar,105.15
Cabbage,Alluvial soil,56.3,6.94,27.87,147.47,58.06,0.713,Punjab,0
Tomato,Forest and Mountain soil,59.38,7.5,19,219.28,81.65,0.835,Madhya Pradesh,0
Cauliflower,Forest and Mountain soil,66.81,6.07,25.38,79.77,66.95,0.78,West Bengal,122.92
Cabbage,Alluvial soil,69.6,7.32,26.05,68.93,75.5,0.795,Tamil Nadu,125.93
Wheat,Alluvial soil,42.21,6.62,27.59,69.02,53.59,0.634,Tamil Nadu,102.23
Rice,Red and Yellow soil,80.91,6.03,28.09,332.95,82.96,0.788,Maharashtra,0
Cauliflower,Black soil,71.55,7.08,23.47,88.81,82.66,0.633,Karnataka,112.06
Mustard,Alluvial soil,35.78,6.86,22.72,34.7,45.3,0.35,Chhattisgarh,64.85
Cauliflower,Alluvial soil,59.14,6.03,18.65,63.66,55,0.761,Maharashtra,133.86
Pumpkin,Black soil,68.57,6.7,25.86,121.95,71.04,0.775,West Bengal,0
Rice,Black soil,58.1,7.32,25.26,194.24,76.2,0.613,Tamil Nadu,170.43
Lentil,Black soil,51.28,7.06,21.71,114.55,61.42,0.808,Maharashtra,0
Sugarcane,Laterite soil,61.47,5.5,23.45,237.16,77.99,0.775,Maharashtra,236.55
Rice,Red and Yellow soil,68.41,6.02,26.68,228.6,79.98,0.724,Karnataka,175.47
Cotton,Black soil,55.22,6.65,20.06,132.19,71.29,0.833,Maharashtra,0
Mustard,Red and Yellow soil,30.26,6.47,21.2,21.46,34.43,0.487,Madhya Pradesh,80.46
Lentil,Alluvial soil,32.22,7.42,21.66,38.36,45.88,0.566,Madhya Pradesh,70.82
Maize,Red and Yellow soil,57.29,7.16,29.55,148.88,58.59,0.74,Haryana,0
Cucumber,Red and Yellow soil,54.14,6.34,35.02,80.32,57.11,0.811,Bihar,131.45
Chickpea,Forest and Mountain soil,55.47,7.72,31.98,117.88,63.59,0.778,Tamil Nadu,0
Mustard,Alluvial soil,32.62,6.96,21.76,48.9,70,0.623,Bihar,62.59
Mustard,Forest and Mountain soil,46.38,7.1,29.28,175.35,58.8,0.788,West Bengal,0
Pumpkin,Black soil,63.21,6.24,27.21,172.17,67.86,0.78,Madhya Pradesh,0
Lentil,Alluvial soil,42.63,7.38,19.73,92.03,60.31,0.54,Rajasthan,54.3
Soybean,Black soil,41.01,7.17,26.63,80.19,46.56,0.772,Uttar Pradesh,94.89
Brinjal,Forest and Mountain soil,64.68,7.19,18.1,224.8,83.64,0.662,Tamil Nadu,0
Pumpkin,Alluvial soil,83.09,7.33,21.64,216.66,93.67,0.869,Uttar Pradesh,0
Onion,Alluvial soil,61.02,6.54,19.42,155.79,52.45,0.507,Maharashtra,66.11
Soybean,Forest and Mountain soil,73.23,6.42,28.38,307.63,90.59,0.769,Haryana,0
Lentil,Alluvial soil,45.37,7.02,24.18,28.39,63.59,0.599,Punjab,66.99
Lentil,Black soil,55.35,6.63,27.22,167.13,58.48,0.763,Haryana,0
Maize,Forest and Mountain soil,50.55,6.83,21.39,104.33,58.48,0.834,Madhya Pradesh,0
Cabbage,Alluvial soil,79.46,7.49,21.15,261.9,77.91,0.803,Karnataka,0
Tomato,Alluvial soil,68.49,7.46,23.84,241.17,82.7,0.714,Gujarat,0
Cauliflower,Forest and Mountain soil,82.69,7.28,23.77,276.11,89.82,0.729,Madhya Pradesh,0
Potato,Red and Yellow soil,54.25,6.1,20.17,100.53,47.22,0.563,Karnataka,107.69
Cauliflower,Red and Yellow soil,85.77,7.15,22.02,205.52,88.15,0.839,Karnataka,0
Lentil,Alluvial soil,31.95,6.57,21.58,64.66,55,0.453,Madhya Pradesh,65.67
Sugarcane,Alluvial soil,77.35,7.17,26.13,287.43,84.29,0.678,Haryana,0
Sugarcane,Red and Yellow soil,55.33,6.74,28.48,143.47,59.78,0.827,Madhya Pradesh,0
Mustard,Alluvial soil,36.13,6.94,19.4,24.36,52.87,0.439,Rajasthan,66.26
Groundnut,Black soil,52.79,7.52,20.39,123.18,74.34,0.673,Uttar Pradesh,0
Chilli,Alluvial soil,51.1,7.07,26.43,86.34,69.85,0.785,Rajasthan,107.47
Maize,Alluvial soil,56.97,6.97,28.2,161.91,67.3,0.585,Uttar Pradesh,88.74
Chickpea,Alluvial soil,31.82,7.09,25.65,68.05,48.53,0.544,Telangana,75.17
Chickpea,Red and Yellow soil,52.45,7.05,28.81,87.49,74.65,0.845,Uttar Pradesh,0
Maize,Black soil,94.85,6.35,21.85,241.55,90.94,0.702,Maharashtra,0
Onion,Forest and Mountain soil,74.8,7.76,29.45,353.54,88.45,0.84,West Bengal,0
Mustard,Alluvial soil,35.51,7.3,22.1,42.08,37.03,0.468,Punjab,62.95
Chilli,Forest and Mountain soil,81.59,6.78,25.61,211.98,92.91,0.761,Maharashtra,0
Pumpkin,Black soil,71.04,7.06,19.35,349.56,91.03,0.792,Bihar,0
Cauliflower,Black soil,70.83,7.62,29.39,288,91.51,0.928,Madhya Pradesh,0
Cauliflower,Alluvial soil,63,6.75,22.29,74.87,68.08,0.631,Assam,130.2
Cabbage,Black soil,63.87,7.09,23.13,93.17,55.88,0.55,Assam,112.14
Cabbage,Red and Yellow soil,87.91,6.26,29.12,277.98,86.21,0.791,West Bengal,0
Groundnut,Black soil,48.27,7.17,23.01,70.27,63.12,0.535,Karnataka,82.77
Onion,Red and Yellow soil,59.08,6.27,25.63,70.39,50.77,0.647,Maharashtra,101.11
Brinjal,Forest and Mountain soil,60.48,6.66,26.79,128.45,69.7,0.768,Haryana,0
Cauliflower,Forest and Mountain soil,57.61,6.08,20.47,76.25,61.26,0.684,Karnataka,127.36
Cabbage,Forest and Mountain soil,52.89,6.83,23.98,116.06,74.9,0.717,Tamil Nadu,0
Potato,Alluvial soil,74.29,7.55,21.2,376.09,81.13,0.72,Maharashtra,0
Wheat,Red and Yellow soil,55.46,7.03,24.48,169.61,60.12,0.713,Gujarat,0
Garlic,Alluvial soil,50.88,6.21,21.55,20,48.12,0.532,Bihar,105.29
Garlic,Alluvial soil,46.43,6.89,25.91,76.49,65.34,0.607,Karnataka,95.58
Cauliflower,Alluvial soil,60.94,6.69,17.02,63.27,55,0.725,West Bengal,132.22
Garlic,Forest and Mountain soil,69.12,7.05,19.58,231.71,78.62,0.654,Uttar Pradesh,0
Sugarcane,Red and Yellow soil,89.2,6.5,21.03,200.66,80.09,0.773,Uttar Pradesh,0
Soybean,Alluvial soil,45.91,7.09,21.78,176.23,57.68,0.692,Telangana,76.01
Cucumber,Black soil,59.14,6.24,29.01,241.93,66.39,0.854,Maharashtra,0
Groundnut,Black soil,55.82,7.25,23.34,82.32,67.19,0.893,Karnataka,0
Chickpea,Alluvial soil,41.86,7.1,18.82,55.65,54.25,0.573,Madhya Pradesh,70.59
Cotton,Alluvial soil,49.01,7.54,32.44,103.38,48.65,0.728,Haryana,92.52
Rice,Alluvial soil,83.62,7.21,29.02,275.7,86.55,0.771,Uttar Pradesh,0
Wheat,Alluvial soil,58.79,6.87,24.68,97.92,60.08,0.755,Bihar,0
Cucumber,Red and Yellow soil,45.99,6.39,28.97,37.91,66.47,0.665,Uttar Pradesh,143.91
Garlic,Alluvial soil,38.51,6.55,23.71,56.87,62.95,0.776,Gujarat,104.36
Rice,Red and Yellow soil,50.75,6.57,23.5,209.24,60,0.804,Rajasthan,190.76
Rice,Black soil,79.53,6.86,19.31,334.57,91.74,0.867,Maharashtra,0
Wheat,Forest and Mountain soil,48.13,6.17,20.67,79.48,43.95,0.666,Tamil Nadu,102.82
Cotton,Black soil,89.43,7.28,28.61,355.81,77.77,0.92,Bihar,0
Tomato,Alluvial soil,56.62,6.41,27.03,241.2,66.02,0.67,Karnataka,0
Onion,Forest and Mountain soil,92.66,7.65,19.47,393.56,94.17,0.939,Karnataka,0
Pumpkin,Black soil,65.38,7.68,28.18,213.24,67.02,0.721,Bihar,0
Chickpea,Red and Yellow soil,34.34,6.68,29.11,79.25,58.68,0.541,Bihar,82.71
Soybean,Red and Yellow soil,51.22,6.22,29.09,117.69,72.16,0.814,Uttar Pradesh,105.38
Brinjal,Forest and Mountain soil,86.29,6.59,25.26,254.99,80.75,0.922,Tamil Nadu,0
Mustard,Forest and Mountain soil,89.97,7.73,18.37,261.22,88.77,0.707,Haryana,0
Wheat,Alluvial soil,51.79,6.98,20.44,83.97,53.65,0.536,Punjab,93.65
Cauliflower,Red and Yellow soil,73.55,6.09,21.9,152.79,76.48,0.667,Uttar Pradesh,0
Garlic,Alluvial soil,47.59,6.56,20.8,79.75,40,0.584,Karnataka,92.03
Rice,Alluvial soil,68.57,6.92,28.65,122.62,67.65,0.533,Maharashtra,163.03
Rice,Black soil,57.76,7.8,28.46,235.34,86.47,0.76,Uttar Pradesh,162.31
Soybean,Red and Yellow soil,48.34,6.11,21.34,121.07,68.91,0.764,Tamil Nadu,0
Cotton,Black soil,49.94,7.62,23.63,124.14,73.49,0.882,West Bengal,0
Pumpkin,Red and Yellow soil,57.42,6.6,21.81,82.58,62.96,0.847,Haryana,0
Garlic,Red and Yellow soil,45.62,6.36,21.22,56.27,40,0.659,Uttar Pradesh,109.25
Garlic,Alluvial soil,58.37,7.75,21.76,168.6,83.3,0.746,Tamil Nadu,0
Soybean,Red and Yellow soil,57.25,7.67,19.75,151.58,61.18,0.897,Haryana,0
Tomato,Black soil,60.39,7.36,21.1,70.05,62.57,0.611,Maharashtra,93.81
Cauliflower,Black soil,62.94,7.16,26.41,80.11,65.42,0.795,West Bengal,0
Brinjal,Black soil,56.6,7.21,24.74,93.44,71.72,0.816,Madhya Pradesh,0
Lentil,Black soil,42.53,7.61,23.29,97.06,51.37,0.619,Maharashtra,49.41
Soybean,Black soil,54.86,6.11,18.73,159.98,61.63,0.729,Gujarat,0
Wheat,Black soil,54.32,7.39,21.88,94.87,58.5,0.819,Tamil Nadu,0
Pumpkin,Red and Yellow soil,57.39,6.21,22.01,158.42,77.06,0.8,Rajasthan,101.46
Groundnut,Alluvial soil,56.76,7.4,18.09,179.82,69.7,0.815,Maharashtra,0
Chilli,Alluvial soil,46.04,6.52,30.3,69.5,67.2,0.763,West Bengal,34.97
Brinjal,Forest and Mountain soil,61.31,6.12,22.12,232.2,66,0.724,Punjab,0
Chilli,Alluvial soil,46.22,6.97,29.78,99.17,81.01,0.595,Madhya Pradesh,108.87
Cotton,Alluvial soil,58.03,6.93,29.56,119.53,51.84,0.673,Telangana,81.92
Wheat,Alluvial soil,54.49,6.62,17.43,66.7,45.95,0.626,Haryana,98.18
Wheat,Black soil,49.34,7.09,14.35,119.43,36.84,0.59,Maharashtra,98.02
Brinjal,Alluvial soil,60.62,6.93,24.63,243.77,67.27,0.805,Bihar,0
Rice,Red and Yellow soil,87,6.55,18.2,361.9,80.08,0.737,Maharashtra,0
Maize,Black soil,50.06,7.36,22.33,115.16,62.76,0.725,Haryana,0
Cucumber,Black soil,54.34,7.26,30.68,112.07,58.26,0.777,Bihar,0
Tomato,Black soil,57.23,7.01,26.02,42.3,60.04,0.583,Telangana,105.1
Brinjal,Forest and Mountain soil,69.98,6.1,28.88,230.19,77.12,0.696,West Bengal,0
Cotton,Alluvial soil,52.1,6.92,18.55,80.32,70.41,0.705,Uttar Pradesh,0
Sugarcane,Alluvial soil,87.81,6.77,25.37,391.57,82.87,0.719,Gujarat,0
Cucumber,Forest and Mountain soil,82.2,6.31,24.54,215.21,80.05,0.942,Madhya Pradesh,0
Tomato,Red and Yellow soil,49.58,6.33,25.35,72.75,52.12,0.708,Madhya Pradesh,116.74
Wheat,Black soil,52.16,7.17,20.6,79.49,35,0.631,Uttar Pradesh,104.63
Groundnut,Alluvial soil,64.22,6.16,21.04,147.82,66.85,0.659,Uttar Pradesh,0
Soybean,Black soil,57.38,6.14,25.52,112.91,55.49,0.663,Punjab,0
Cucumber,Alluvial soil,56.51,6.62,30.84,86.04,66.79,0.659,Tamil Nadu,116.5
Potato,Alluvial soil,59.75,5.86,28,59.17,55,0.5,Punjab,107.86
Maize,Alluvial soil,51.48,6.74,26.48,156.21,69.73,0.593,Maharashtra,93.15
Rice,Black soil,70.6,7.27,27.39,256.26,80.68,0.75,Punjab,147.45
